id,firstname,lastname,skills,endorsements,volunteer_experience,num_connections,location,causes_supported,industry,summary
1,mia,rai,"MS Access, Financial Statements, Customer Care, Prepare Designs and Estimates, Bill Payment","1, 19, 30, 37, 3",1,185,location,"cause1,cause2",industry,summary
2,varun,roy,"Mathematics, Fundraising, Toleration","7, 35, 39",10,479,location,"cause1,cause2",industry,summary
3,akshay,kapoor,"Journalist Ethics, Cash Receipts, Cost Control, Analysis","13, 26, 2, 11",8,30,location,"cause1,cause2",industry,summary
4,nishant,gandhi,"Organization, Project Management, html5, Budgets, Engine Repair","41, 47, 1, 27, 15",5,92,location,"cause1,cause2",industry,summary
5,himani,gandhi,"Boutique Assistant, Interpersonal, Customer Care","11, 41, 36",10,93,location,"cause1,cause2",industry,summary
6,kendra,bhatnagar,"Microsoft Office, Google Analytics, Decision Making","29, 28, 1",6,329,location,"cause1,cause2",industry,summary
7,rohit,gandhi,"Troubleshooting Abilities, Audits, Scalp Treatment, Audit Schedules, Business Acumen","43, 10, 42, 36, 25",3,413,location,"cause1,cause2",industry,summary
8,dave,mehrotra,"Physics, Formatting, Public Speaking, Service Writing, Planner","30, 13, 6, 24, 20",9,112,location,"cause1,cause2",industry,summary
9,abhijeet,wartney,"Journal Entry Preparation/Posting, Production Sourcing Director, Organizational, Paychex, Analytical","33, 15, 37, 35, 26",4,232,location,"cause1,cause2",industry,summary
10,rahul,sherawat,"Content Management, Communication, Boutique Assistant","46, 2, 23",2,302,location,"cause1,cause2",industry,summary
11,varun,kapoor,"Attention to Detail, Chart of Accounts, Cloud Systems Administration","49, 12, 25",2,427,location,"cause1,cause2",industry,summary
12,chad,rai,"Optimization, cloud, Ordering, Food Pricing","34, 43, 33, 49",3,224,location,"cause1,cause2",industry,summary
13,akshay,walia,"Pastry, MS Word, Styling","33, 33, 2",9,68,location,"cause1,cause2",industry,summary
14,mark,ann,"Team Building, Big Data, Health and Safety, Personal Interaction, Decision Trees","3, 4, 39, 33, 13",8,387,location,"cause1,cause2",industry,summary
15,abhijeet,bhatnagar,"Kitchen Management, Media, Collaboration","50, 30, 7",7,214,location,"cause1,cause2",industry,summary
16,simar,wartney,"Teamwork, Agile Development, Cross Sales of Service","23, 20, 19",10,167,location,"cause1,cause2",industry,summary
17,abhijeet,ann,"Cloud Systems Administration, Withdrawals, Diesel Engine Repair, Evaluating Options and Ordering Equipment and Tools","7, 17, 3, 10",7,469,location,"cause1,cause2",industry,summary
18,lisa,sherawat,"Client Services Manager, Screening Calls, Coding, Hair Styling, Evaluating Emerging Digital Technology Tools","8, 47, 40, 6, 36",4,110,location,"cause1,cause2",industry,summary
19,abhijeet,walia,"Verbal Communication, Content Management, Online searches, Interpersonal","16, 8, 15, 48",6,259,location,"cause1,cause2",industry,summary
20,mia,parker,"Critical Thinking, Hair Cutting, Optimization, Curated Merchant, Communications","36, 14, 2, 16, 32",1,45,location,"cause1,cause2",industry,summary
21,tiffany,nagpal,"Planner, Buyer, public speaking","42, 17, 40",2,316,location,"cause1,cause2",industry,summary
22,sid,singh,"Answer Client Questions, Financial Service Recognition, Recordkeeping, Organizing, Brake Repair","10, 8, 8, 38, 31",3,436,location,"cause1,cause2",industry,summary
23,varun,rai,"Flexibility, html5, Assertiveness, Payroll","39, 15, 44, 30",6,175,location,"cause1,cause2",industry,summary
24,ashima,singh,"HTML, Depreciation, Multitasking, Image Management","7, 10, 49, 50",10,363,location,"cause1,cause2",industry,summary
25,rohit,walia,"Accounting Software, Rebuild Parts, Information Design, Heat Control, Prioritizing","31, 30, 38, 11, 3",1,166,location,"cause1,cause2",industry,summary
26,chad,arora,"Flexibility, MS Access, Detail Oriented","47, 4, 17",8,444,location,"cause1,cause2",industry,summary
27,rohit,parker,"Flexibility, ECL, Managing Full Application Stacks","43, 35, 17",6,437,location,"cause1,cause2",industry,summary
28,abhijeet,roy,"Perform routine and schedule maintenance, Tax Reporting, Ingredient Selection, Management","50, 42, 12, 19",10,85,location,"cause1,cause2",industry,summary
29,ashima,bhatnagar,"Temperature Control, Evaluating Processes, Identifying Audience, Passion, Adaptability","48, 45, 3, 17, 43",6,23,location,"cause1,cause2",industry,summary
30,simar,wartney,"Information Architecture, Information Architecture, Commitment to Quality, Depreciation, Recordkeeping","33, 47, 2, 29, 1",6,128,location,"cause1,cause2",industry,summary
31,rohit,arora,"Bilingual, Caring, Analysis, Hygiene","27, 2, 30, 32",6,95,location,"cause1,cause2",industry,summary
32,lisa,nagpal,"Documenting, Analysis, Management","1, 6, 50",6,139,location,"cause1,cause2",industry,summary
33,ashima,roy,"Accuracy, Debt Management, Accounting Principles, Build, Manage and Monitor Cloud Environments","48, 24, 47, 45",5,19,location,"cause1,cause2",industry,summary
34,adam,dangelo,"Mathematics, Planning Strategy for Websites and Social Media, Evaluating Emerging Digital Technology Tools","39, 15, 38",10,496,location,"cause1,cause2",industry,summary
35,mark,bhatnagar,"Hosting Virtualization Platforms, Interest Calculations, Balance Sheets, Attentiveness","13, 42, 44, 44",2,485,location,"cause1,cause2",industry,summary
36,chad,wartney,"Decision Making, MS Excel, Financial Statements, Kitchen Management","26, 3, 36, 40",6,447,location,"cause1,cause2",industry,summary
37,tiffany,gandhi,"Supervision, Planning, Tax Returns, Personal Interaction","45, 15, 29, 43",6,20,location,"cause1,cause2",industry,summary
38,mia,singh,"Cloud Systems Administration, Code Management and Promotion Tools, Microsoft Office, Diesel Engine Repair","29, 15, 48, 4",3,324,location,"cause1,cause2",industry,summary
39,kendra,gandhi,"Conduct tests and inspections, Confidence, Entertainment, General Manager","35, 48, 48, 45",7,322,location,"cause1,cause2",industry,summary
40,adam,gandhi,"Cloud Hosting Services, Perform routine and schedule maintenance, Formatting","20, 24, 24",6,261,location,"cause1,cause2",industry,summary
41,mia,kapoor,"Tax Law, Analytical, leadership","21, 25, 33",2,172,location,"cause1,cause2",industry,summary
42,rahul,arora,"Optimization, Budgeting, Recordkeeping, Innovation, Audit Schedules","12, 25, 23, 47, 45",2,104,location,"cause1,cause2",industry,summary
43,adam,sherawat,"Editing, Construction, HP","33, 9, 23",2,78,location,"cause1,cause2",industry,summary
